Recipe Urls,recipeName,ingredients
https://www.foodnetwork.com/recipes/giada-de-laurentiis/shrimp-and-avocado-salad-with-frico-chips-recipe-2102587,Shrimp and Avocado Salad with Frico Chips,"['Frico Chips:', '1/2 cup grated Parmigiano-Reggiano cheese', '1 medium zucchini, halved lengthwise', '1 teaspoon extra-virgin olive oil', '1/8 teaspoon kosher salt', '1/4 cup extra-virgin olive oil', '2 tablespoons soy sauce', '1 clove garlic, minced', 'Zest of 1 large lemon', '3 tablespoons chopped fresh flat-leaf parsley', '2 tablespoons chopped fresh chives', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '12 jumbo shrimp, peeled and deveined', '2 tablespoons extra-virgin olive oil', '2 tablespoons fresh lemon juice', '1 tablespoon agave', '1 teaspoon Dijon mustard', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1 medium avocado, peeled seeded and diced into 1/2-inch pieces']"
https://www.foodnetwork.com/recipes/shrimp-bacon-pasta-recipe-2111680,Diablo Pasta with Bacon Wrapped Shrimp,"['12 ounces chipotle peppers in adobo sauce, pureed', '1/4 cup minced garlic', '1/4 cup Worcestershire sauce', '6 whole tomatoes, diced', 'One 16-ounce can lager beer', '1 bunch fresh cilantro', '3 sticks butter', '6 teaspoons minced fresh habanero peppers', 'One 1-pound box linguine, cooked', 'Bacon Wrapped Shrimp, recipe follows', '6 slices good-quality thick-cut bacon', '6 medium to large raw shrimp, peeled and deveined']"
https://www.foodnetwork.com/recipes/shrimp-and-bacon-sesame-toast-2108598,Shrimp and Bacon Sesame Toast,"['8 medium black tiger shrimp (about 12 ounces), peeled and deveined', '4 slices smoked bacon (about 4 ounces), excess fat trimmed and discarded', '1 tablespoon cornstarch', '1 tablespoon finely grated peeled ginger', '1 large egg, beaten', '1 large scallion, finely chopped', 'Dash toasted sesame oil', 'Dash light soy sauce', 'Sea salt and freshly ground white pepper\xa0', '3 slices firm good-quality white sandwich bread', '1/4 cup white sesame seeds', '3 cups peanut oil']"
https://www.foodnetwork.com/recipes/shrimp-and-banana-recipe-2109841,Shrimp and Banana,"['20 shrimp, peeled and deveined with tails on', 'Vegetable oil', 'Salt and pepper', 'Salt and pepper\xa0', '4 tablespoons shallots, brunoise (about 1 1/2 shallots)', '1 tablespoon finely chopped garlic (about 4 cloves)', '4 very ripe bananas (so ripe that the skins are black)', '1:1 low-sodium soya/water (1/2 cup of each)', 'Roughly 3 tablespoons sambal', '1 teaspoon honey', 'Juice of 2 limes', '1 cup fresh cilantro, chopped', 'Onion sprouts, for garnish']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-barley-risotto-5448336,Shrimp and Barley Risotto,"['5 tablespoons unsalted butter', '1 small bulb fennel, chopped, plus 1/4 cup fronds', '4 cloves garlic, finely chopped', '1 teaspoon chopped fresh rosemary', 'Kosher salt and freshly ground pepper', '1 1/2 cups quick-cooking pearl barley (about 8 ounces)', '1 1/2 cups low-sodium chicken broth', '1 1/4 pounds peeled and deveined medium shrimp', '3/4 cup frozen peas', '1/2 teaspoon grated lemon zest, plus 2 tablespoons lemon juice', '1/4 cup grated parmesan cheese']"
https://www.foodnetwork.com/recipes/giada-de-laurentiis/shrimp-and-beef-skewers-with-soy-and-scallion-butter-recipe-1923197,Shrimp and Beef Skewers with Soy and Scallion Butter,"['2 sticks unsalted butter, at room temperature', '5 scallions, pale green and white parts only, finely chopped', '3 cloves garlic, minced', '3 tablespoons soy sauce', '1/3 cup extra-virgin olive oil', '4 cloves garlic, minced', '1 teaspoon kosher salt', '1 teaspoon freshly ground black pepper', '8 ounces (about 12) medium-size button or cremini mushrooms, halved', '1 pound (about 28) large shrimp, peeled and deveined', '1 pound sirloin steak, about 3/4-inch thick, cut into 28 (1-inch) pieces', '20 (6 to 8-inch) wooden skewers, soaked in water for 30 minutes to prevent scorching']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-bok-choy-stir-fry-3854503,Shrimp and Bok Choy Stir-Fry,"['1/3 cup barbecue sauce', '1 tablespoon Asian chili-garlic sauce (such as sambal oelek)', '3 tablespoons vegetable oil', '1 1/4 pounds peeled and deveined large shrimp', 'Kosher salt', '1 1/2 pounds baby bok choy, trimmed and halved lengthwise', '4 cups frozen white rice', 'Lime wedges, for serving']"
https://www.foodnetwork.com/recipes/shrimp-and-bread-bowls-and-olive-pesto-dressed-tomatoes-recipe-1937744,Shrimp and Bread Bowls and Olive-Pesto Dressed Tomatoes,"['1 loaf semolina or chewy bread, torn into large pieces', '1/2 cup extra-virgin olive oil, divided', '2 teaspoons anchovy paste', '2 pounds large shrimp, peeled and deviened', '6 cloves garlic, grated or chopped', '1 teaspoon crushed red pepper flakes', 'Salt and freshly ground black pepper', '3 tablespoons capers', '1/2 cup dry white wine, eyeball it', '1 cup seafood stock, clam juice or chicken stock', '1 lemon, juiced', '2 tablespoons cold butter', 'A generous handful fresh flat-leaf parsley, chopped', '1/4 cup store-bought olive tapenade', '1/4 cup store-bought pesto', '6 plum tomatoes, sliced', '1 small red onion, thinly sliced']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-broccoli-lo-mein-3363727,Shrimp and Broccoli Lo Mein,"['Kosher salt', '8 ounces whole-wheat spaghetti', '4 teaspoons vegetable oil', '2 tablespoons finely chopped scallions (white and light green parts only)', '2 tablespoons minced peeled ginger', '3 cloves garlic, minced', '1 pound medium shrimp, peeled and deveined', '1 bunch broccoli, cut into florets, stems peeled and thinly sliced', '2 cups low-sodium mushroom or vegetable broth', '1 tablespoon cornstarch', '1 tablespoon low-sodium soy sauce', '2 teaspoons toasted sesame oil']"
https://www.foodnetwork.com/recipes/bobby-flay/shrimp-and-brussels-sprout-spring-rolls-with-sesame-ginger-dipping-sauce-2351250,Shrimp and Brussels Sprout Spring Rolls with Sesame Ginger Dipping Sauce,"['Canola oil', '8 ounces shrimp, peeled, deveined and tails removed\xa0', 'Salt and freshly ground black pepper', 'Salt and freshly ground black pepper\xa0', '2 cloves garlic, smashed and finely chopped', '1/4 cup white wine\xa0', '8 ounces Brussels sprouts, thinly sliced\xa0', '1 Serrano chile, thinly sliced\xa0', '1/4 cup dry roasted peanuts, chopped\xa0', '1/4 cup Thai basil, chiffonade\xa0', '16 spring roll wrappers\xa0', '1 egg, whisked with 1 tablespoon water\xa0', 'Sesame Ginger Dipping Sauce, recipe follows', '1/4 cup soy sauce', '2 tablespoons honey\xa0', '2 tablespoons thinly sliced scallions', '2 tablespoons rice wine vinegar\xa0', '1 tablespoon grated ginger\xa0', '1 tablespoon sesame oil\xa0', '1 red Thai bird chile, thinly sliced\xa0', 'Kosher salt']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-cabbage-stir-fry-recipe-1973822,Shrimp and Cabbage Stir-Fry,"['1 large egg white', '1 tablespoon plus 2 teaspoons cornstarch', '1 tablespoon plus 1 teaspoon soy sauce', '1 1/4 pounds medium shrimp, peeled and deveined', '2 teaspoons hoisin sauce', '1 1/2 teaspoons sherry vinegar or rice wine vinegar', '1/2 cup low-sodium chicken broth or water', '2 tablespoons vegetable oil', '4 scallions, cut into 1/2-inch pieces, white and green parts separated', '1 tablespoon finely grated peeled ginger', '1 clove garlic, finely grated', '1 pound Napa cabbage (1/2 head), cut into 1-inch pieces', 'Cooked white rice, for serving (optional)']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-cauliflower-grits-3801474,"Shrimp and Cauliflower ""Grits""","['1 large head cauliflower (about 2 pounds), trimmed and cut into small florets', '1 cup 1 percent milk', '3 tablespoons unsalted butter', 'Kosher salt and freshly ground black pepper', '1/3 cup grated Parmesan', '1 1/4 pounds peeled and deveined tail-on medium shrimp', '2 large cloves garlic, minced', 'Pinch cayenne pepper, optional', '2 tablespoons roughly chopped fresh parsley', 'Juice of 1/2 lemon, plus lemon wedges, for serving']"
https://www.foodnetwork.com/recipes/shrimp-and-chayote-in-a-coconut-tamarind-sauce-recipe-2012757,Shrimp and Chayote in a Coconut-Tamarind Sauce,"['1 tablespoon whole coriander seeds', '1/2 teaspoon black peppercorns', '1 cup coconut milk from a well-stirred can (Chaokoh brand is best)', '1 tablespoon thick tamarind paste*', '1/2 teaspoon salt', '1/4 teaspoon cayenne pepper', '1 teaspoon paprika (good quality, bright red)', '3 tablespoons olive oil', '1 teaspoon whole brown mustard seeds', '1/2 medium shallot, peeled and cut into fine slivers', '1 clove garlic, peeled and cut into fine slivers', '3 thin slices peeled fresh ginger, cut into fine slivers', '1 pound shrimp, peeled, deveined, washed and patted dry', '1 chayote (if small, use 1 1/2) peeled and cut into 1/8-inch julienne strips', 'Salt', 'Freshly ground black pepper', 'Pinch cayenne pepper', '12 to 15 fresh basil leaves, cut into thin ribbons at the last minute']"
https://www.foodnetwork.com/recipes/robert-irvine/shrimp-and-cheddar-grits-recipe-1939962,Shrimp and Cheddar Grits,"['4 cups water', '2 cups uncooked quick grits', '6 ounces raw chopped shrimp', '1/4 teaspoon salt', '4 tablespoons butter (1/2 stick)', '4 tablespoons sliced scallions (5 to 6 scallions)', '2 tablespoons diced tomatoes (about 1 plum tomato)', '1 teaspoon chopped fresh cilantro plus several small sprigs for garnish', '4 ounces shredded Cheddar', 'Salt and freshly ground black pepper']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-cheddar-grits-8122307,Shrimp and Cheddar Grits,"['1 bay leaf', 'Kosher salt and freshly ground pepper', '1 cup old-fashioned grits (not instant or quick-cooking)', '1/4 cup heavy cream', '2 tablespoons unsalted butter, cut into pieces', '1/2 cup grated sharp white cheddar cheese', '2 tablespoons extra-virgin olive oil', '2 links fully cooked andouille sausage (about 6 ounces total), cut into 1/2-inch pieces', '4 scallions, chopped (white and green parts separated)', '2 stalks celery, chopped, plus 1/4 cup leaves', '1 small red bell pepper, chopped', '1 pound large shrimp, peeled and deveined', 'Kosher salt', '3 cloves garlic, minced', '1 teaspoon chopped fresh thyme', '2 tablespoons tomato paste', '1 tablespoon fresh lemon juice, plus more if needed', '2 teaspoons Worcestershire sauce', '2 tablespoons unsalted butter', '2 tablespoons chopped fresh parsley']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-chicken-etouffee-recipe-2103983,Shrimp and Chicken Etouffee,"['2 tablespoons vegetable oil', '1 pound andouille sausage, diced', '3 pounds skin-on, bone-in chicken thighs', 'Kosher salt', '1/2 cup plus 2 tablespoons all-purpose flour', '4 stalks celery, diced', '1 large onion, diced', '1 green bell pepper, chopped', '4 cloves garlic, minced', '1/4 teaspoon cayenne pepper', '4 cups low-sodium chicken broth', '1 pound medium shrimp, peeled and deveined', '2 tablespoons dry sherry', 'Freshly ground black pepper']"
https://www.foodnetwork.com/recipes/shrimp-and-chicken-vietnamese-summer-rolls-1951240,Shrimp and Chicken Vietnamese Summer Rolls,"['3 large pots, filled 3/4 of the way with water', '3 boneless, skinless chicken breasts', 'Ice bath, for chilling the blanched ingredients', '1 pound medium shrimp', '8 ounces bean thread noodles (glass noodles)', 'Sesame oil, to taste', '1/2 head iceberg lettuce, shredded', '2 cucumbers, peeled, seeded and julienned', '1 pound carrots, peeled and grated', '1 bunch fresh mint, leaves washed, picked and sliced thinly', '1 bunch fresh basil, leaves washed, picked and sliced thinly', '1 package large round rice paper wrappers', 'Soy Sauce, for dipping']"
https://www.foodnetwork.com/recipes/tyler-florence/shrimp-and-chive-ravioli-with-grape-tomato-sauce-recipe-1943376,Shrimp and Chive Ravioli with Grape Tomato Sauce,"['1/2 recipe Pasta Dough for Ravioli, recipe follows', '1 pound medium-size raw shrimp, cleaned and shelled', '1 bunch fresh basil leaves, plus more for garnish', '1 bunch fresh chervil, plus more for garnish', '1 bunch fresh chives, plus more for garnish', '1 large egg white, plus 1 egg for wash', '8 tablespoons extra-virgin olive oil', 'Kosher salt and freshly ground black pepper', '1 pint grape tomatoes', '2 shallots, finely chopped', '1/2 bunch fresh chervil, plus more for garnish', 'Flour, for dusting', '5 cups all-purpose flour, plus more for dusting', '1 teaspoon salt', '6 large eggs', '2 tablespoons extra-virgin olive oil']"
https://www.foodnetwork.com/recipes/brian-boitano/shrimp-and-chorizo-skewers-recipe-1948689,Shrimp and Chorizo Skewers,"['2 cloves garlic, finely chopped', '2 teaspoons paprika', '1/2 cup olive oil', '1 pound Spanish chorizo, sliced into 1/2-inch pieces', '2 pounds large shrimp, peeled and deveined, tails left on', '20 (6-inch) bamboo skewers, soaked in water', 'Sea salt', 'Freshly ground black pepper', '2 lemons, cut into small wedges']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-chorizo-stew-recipe-1973432,Shrimp and Chorizo Stew,"['1/4 cup extra-virgin olive oil', '1 large Spanish onion, diced', '4 cloves garlic, smashed', '4 ounces Spanish chorizo, casings removed, sliced', '2 teaspoons smoked paprika (hot or sweet)', 'Kosher salt', '1 cup canned whole plum tomatoes, roughly chopped, plus 1/2 cup juice from the can', '2 bay leaves', '1/4 teaspoon dried thyme', '1/4 teaspoon dried oregano', '1 pound russet potatoes, peeled and cut into 1-inch chunks', '1 bunch kale, stems removed and leaves roughly chopped', '1 pound medium shrimp, peeled and deveined']"
https://www.foodnetwork.com/recipes/shrimp-and-chorizo-tapas-3646201,Shrimp and Chorizo Tapas,"['1 tablespoon, plus 1/4 cup Spanish olive oil', '1 pound chorizo, sliced on the diagonal into 1/2-inch slices', '1 1/2 cups thinly sliced onion', '1 tablespoon minced garlic', '1/2 cup dry (fino) sherry', '1 tablespoon Spanish paprika', '2 teaspoons salt', '1 teaspoon freshly ground black pepper', '1 1/2 pounds peeled and deveined raw medium shrimp', '3 tablespoons lemon juice', '2 tablespoons minced parsley leaves', 'Crusty bread, for serving']"
https://www.foodnetwork.com/recipes/sunny-anderson/shrimp-and-chorizo-in-garlic-sauce-recipe-2119635,Shrimp and Chorizo in Garlic Sauce,"['1 1/2 cups extra-virgin olive oil', '1 pound spicy Mexican chorizo, casing removed', '1/4 cup finely chopped sweet or Vidalia onion', '1 teaspoon adobo seasoning', '1 teaspoon Hungarian paprika', 'Freshly ground black pepper', '1 head garlic, peeled and finely chopped', 'Salt', '1 1/2 pounds peeled deveined shrimp (16/20 count)', 'Crusty, chewy bread, for sopping']"
https://www.foodnetwork.com/recipes/bobby-flay/shrimp-and-cilantro-pesto-quesadilla-recipe-1912332,Shrimp and Cilantro Pesto Quesadilla,"['4 large shrimp, shelled and deveined', 'Salt and freshly ground pepper', '2 tablespoons olive oil, plus 1 tablespoon', '3 (6-inch) tortillas or 8-inch tortillas cut to size', '1/4 cup grated Monterey Jack', '1/4 cup grated white cheddar', '3 tablespoons Cilantro Pesto, recipe follows', '1 teaspoon ancho chile powder', '2 teaspoons sour cream, or to taste', '2 cups firmly packed cilantro leaves', '2 cloves garlic', '2 tablespoons pumpkin seeds', '2 tablespoons fresh lime juice', '2 teaspoons salt', '1 teaspoon freshly ground black pepper', '5 tablespoons olive oil']"
https://www.foodnetwork.com/recipes/robin-miller/shrimp-and-clam-bisque-recipe-1948270,Shrimp and Clam Bisque,"['1 tablespoon olive oil', '1 tablespoon butter', '3/4 cup roasted garlic cloves', '2 leeks, minced', '3 tablespoons all-purpose flour', '1/4 cup brandy', '3 1/2 cups reduced-sodium chicken broth', '1/4 cup tomato paste', '1 russet potato, peeled and diced', '1/2 pound small shrimp, peeled and deveined', '12 steamed clams, shells discarded, clams chopped', '1/2 cup heavy cream', '1 tablespoon freshly chopped dill leaves', 'Rolls, for serving, optional']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-clam-pizza-3622585,Shrimp and Clam Pizza,"['1 pound refrigerated pizza dough, at room temperature', 'All-purpose flour, for dusting', '1 shallot, thinly sliced', '1/4 cup extra-virgin olive oil', 'Kosher salt and freshly ground pepper', '1/3 cup dry white wine', '3 cloves garlic, minced', '12 littleneck clams, scrubbed', '1/2 cup fresh parsley, plus chopped leaves for topping', '1/2 teaspoon grated lemon zest', '8 ounces medium shrimp, peeled, deveined and halved lengthwise']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-corn-chowder-3361651,Shrimp and Corn Chowder,"['2 teaspoons unsalted butter', '3 stalks celery, thinly sliced', '2 bunches scallions, chopped', '3 cups frozen diced potatoes', '3 cups frozen corn', '3 sprigs thyme', '2 bay leaves', 'Kosher salt and freshly ground pepper', '2 tablespoons all-purpose flour', '1 quart low-fat milk', '1 pound medium shrimp, peeled and deveined', 'Paprika, for sprinkling']"
https://www.foodnetwork.com/recipes/shrimp-and-corn-empanadas-7608045,Shrimp and Corn Empanadas,"['3 cups all-purpose flour, plus more for rolling', '2/3 cup lard, chilled\xa0', '1 1/2 teaspoons kosher salt\xa0', '1 large egg\xa0', '1/3 cup cold water\xa0', '1 teaspoon distilled white vinegar\xa0', '2 ears of corn, husks removed', '4 tablespoons extra-virgin olive oil, divided\xa0', '1 red bell pepper, diced\xa0', '1 clove garlic, minced\xa0', '1 shallot, diced\xa0', '1 cup dry white wine, divided\xa0', '1 teaspoon tomato paste\xa0', 'Kosher salt and freshly ground black pepper to taste\xa0', '1 1/2 pounds (26/30-count) shrimp, peeled and deveined, tails removed\xa0', '1 large egg\xa0']"
https://www.foodnetwork.com/recipes/shrimp-and-corn-falafel-with-cilantro-tahini-recipe-1962919,Shrimp and Corn Falafel with Cilantro Tahini,"['16 ounces falafel mix', '2 cups shrimp or shellfish stock (or water if neither is avaiable)', '4 ears of corn, shucked and kernels removed (save kernels, discard husks)', '2 tablespoons butter', '1/2 pound rock shrimp', '1 bunch cilantro, chopped', '1 jalapeno pepper, minced', '1 red bell pepper, small dice', '2 limes, juiced', '4 to 6 scallions, julienne', '1 large red onion, small diced', 'Salt and pepper, to taste', '1 package pita bread', '1/2 pound mixed greens or mesclun', 'Diced tomato, if desired', 'Diced red onion, if desired', '1/2 bunch fresh cilantro, leaves only', '1 cup tahini sauce', '1/2 cup plain yogurt', '1/2 cup creme fraiche', '2 tablespoons olive oil', 'Salt and pepper']"
https://www.foodnetwork.com/recipes/shrimp-and-corn-soup-5437363,Shrimp and Corn Soup,"['1/2 cup (1 stick) unsalted butter', '1/2 onion, chopped', '1 stalk celery, chopped', '1/4 red bell pepper,\xa0chopped', '1/4 cup all-purpose flour\xa0', '1 cup chicken broth\xa0', '1 1/2 cups heavy whipping cream\xa0', '1 1/2 cups whole milk\xa0', 'One 15-ounce can cream-style corn\xa0', '1 cup corn kernels (from 2 medium ears corn)\xa0', '1 pound small shrimp (30/40s), peeled and deveined', '2 teaspoons Cajun Select Seasoning, recipe follows', 'Splash liquid crab boil\xa0', '1/4 cup green onions sliced on a bias \xa0', 'Kosher salt and freshly ground black pepper\xa0', 'Paprika, for garnish\xa0', '2 tablespoons granulated garlic', '2 tablespoons paprika\xa0', '2 tablespoons kosher salt', '1 tablespoon cayenne\xa0pepper', '1 tablespoon onion\xa0powder', '1 tablespoon ground black pepper\xa0', '1 tablespoon sugar\xa0', '1 teaspoon dried basil\xa0', '1 teaspoon ground celery seed\xa0', '1 teaspoon dried oregano\xa0']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-corn-in-a-butter-bath-8536741,Shrimp and Corn in a Butter Bath,"['1 pound baby Yukon gold potatoes, scrubbed (about 20)', 'Kosher salt', '12 ounces smoked andouille sausage, sliced into 1/2-inch thick rounds', '2 pounds (8 sticks) unsalted butter', '6 cloves garlic, minced', '1 teaspoon seafood seasoning, such as Old Bay, plus more for serving', '4 ears of corn, shucked and cut into thirds', '1 1/4 pounds jumbo shrimp, peeled and deveined', '1 lemon, juiced', 'Chopped fresh parsley, for serving', 'Toasted crusty bread, for serving']"
https://www.foodnetwork.com/recipes/shrimp-and-crab-cake-with-tomatillo-relish-recipe-1954352,Shrimp and Crab Cake with Tomatillo Relish,"['8 ounces shrimp (peeled, cleaned and deveined)', '6 ounces Dungeness crab meat, cleaned', '1 tablespoon minced onion', '1 tablespoon minced celery', '1 tablespoon minced red peppers', '1 tablespoon minced jalapeno peppers', '1 tablespoon chopped cilantro', 'Salt and pepper', '1/2 tablespoon chopped parsley', '1 tablespoon flour for dredging (optional)', '2 tablespoons olive oil for frying', '1/2 cup water', '8 ounces tomatillo, husks removed, chopped', '2 jalapeno peppers, seeds removed', '2 tablespoons onions, minced', '2 garlic cloves, minced', '1 cup chopped cilantro']"
https://www.foodnetwork.com/recipes/michael-chiarello/shrimp-and-crab-cakes-recipe-2118126,Shrimp and Crab Cakes,"['3/4 pound raw shrimp, peeled and deveined, tail removed *', '2 egg whites', '1/4 cup heavy cream', '1 1/2 teaspoons kosher salt', '1/4 teaspoon freshly ground black pepper', '1/4 teaspoon cumin seeds', '1/2 cup 1/4-inch cubes peeled jicama', '3 green onions, white parts only, finely chopped', '2 tablespoons chopped fresh cilantro leaves', '1 1/2 tablespoons rasped or finely grated ginger', '3 minced kaffir lime leaves', '3/4 pound crabmeat', '3 cups panko bread crumbs**', 'Vegetable oil, for frying', 'Ginger-Lime Sauce, recipe follows', '1 cup sugar', '1 cup water', '1 cup peeled, thinly sliced, fresh ginger', '1 teaspoon kosher salt\xa0', '1/3 cup cilantro leaves', '3 tablespoons lime juice\xa0', '1 fresh green Thai chile, seeded, roughly chopped***\xa0', '2 tablespoons roughly chopped green onion, green part only']"
